SID,Team,Events,Event Names,Sub Events,Sub Event Names
118,1631,"[5, 3, 8, 8]","['Interruption', 'Free Kick', 'Pass', 'Pass']","[50, 36, 85, 85]","['Ball out of the field', 'Throw in', 'Simple pass', 'Simple pass']"
119,1631,"[8, 1]","['Pass', 'Duel']","[80, 11]","['Cross', 'Ground attacking duel']"
120,1609,"[1, 8]","['Duel', 'Pass']","[12, 83]","['Ground defending duel', 'High pass']"
121,1631,"[8, 8, 8, 1]","['Pass', 'Pass', 'Pass', 'Duel']","[82, 82, 85, 11]","['Head pass', 'Head pass', 'Simple pass', 'Ground attacking duel']"
122,1609,"[1, 8, 8]","['Duel', 'Pass', 'Pass']","[12, 85, 85]","['Ground defending duel', 'Simple pass', 'Simple pass']"
123,1631,"[5, 3, 7]","['Interruption', 'Free Kick', 'Others on the ball']","[50, 36, 72]","['Ball out of the field', 'Throw in', 'Touch']"
124,1609,"[1, 8]","['Duel', 'Pass']","[13, 85]","['Ground loose ball duel', 'Simple pass']"
125,1609,"[8, 8, 7, 8]","['Pass', 'Pass', 'Others on the ball', 'Pass']","[85, 85, 72, 85]","['Simple pass', 'Simple pass', 'Touch', 'Simple pass']"
126,1631,"[7, 8]","['Others on the ball', 'Pass']","[70, 80]","['Acceleration', 'Cross']"
127,1631,"[1, 10, 5]","['Duel', 'Shot', 'Interruption']","[10, 100, 50]","['Air duel', 'Shot', 'Ball out of the field']"
128,1631,"[8, 7]","['Pass', 'Others on the ball']","[85, 72]","['Simple pass', 'Touch']"
129,1609,"[8, 8, 8, 8, 7, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass']","[85, 85, 83, 85, 72, 85]","['Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Touch', 'Simple pass']"
130,1631,"[8, 7, 1]","['Pass', 'Others on the ball', 'Duel']","[84, 72, 13]","['Launch', 'Touch', 'Ground loose ball duel']"
131,1609,"[3, 8, 6]","['Free Kick', 'Pass', 'Offside']","[31, 85, 6]","['Free Kick', 'Simple pass', 'Offside']"
132,1631,"[3, 8, 8]","['Free Kick', 'Pass', 'Pass']","[31, 85, 85]","['Free Kick', 'Simple pass', 'Simple pass']"
133,1631,"[5, 3, 8, 8, 8, 8, 8, 8, 8, 8, 8, 1]","['Interruption', 'Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Duel']","[50, 36, 85, 85, 83, 85, 85, 85, 85, 85, 85, 13]","['Ball out of the field', 'Throw in', 'Simple pass', 'Simple pass', 'High pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Ground loose ball duel']"
134,1609,"[1, 1]","['Duel', 'Duel']","[13, 13]","['Ground loose ball duel', 'Ground loose ball duel']"
135,1609,"[8, 8, 1]","['Pass', 'Pass', 'Duel']","[85, 85, 11]","['Simple pass', 'Simple pass', 'Ground attacking duel']"
136,1631,"[1, 1]","['Duel', 'Duel']","[12, 11]","['Ground defending duel', 'Ground attacking duel']"
137,1631,"[8, 1]","['Pass', 'Duel']","[85, 13]","['Simple pass', 'Ground loose ball duel']"
138,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 10]","['Ball out of the field', 'Throw in', 'Air duel']"
139,1609,"[1, 7, 8]","['Duel', 'Others on the ball', 'Pass']","[10, 71, 82]","['Air duel', 'Clearance', 'Head pass']"
140,1609,"[3, 8]","['Free Kick', 'Pass']","[31, 85]","['Free Kick', 'Simple pass']"
141,1631,"[1, 8, 8, 8, 1]","['Duel', 'Pass', 'Pass', 'Pass', 'Duel']","[11, 85, 85, 85, 11]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Ground attacking duel']"
142,1631,"[8, 5]","['Pass', 'Interruption']","[80, 50]","['Cross', 'Ball out of the field']"
143,1609,"[3, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass']","[34, 85, 85, 83]","['Goal kick', 'Simple pass', 'Simple pass', 'High pass']"
144,1631,"[8, 8]","['Pass', 'Pass']","[85, 85]","['Simple pass', 'Simple pass']"
145,1609,"[8, 8, 1]","['Pass', 'Pass', 'Duel']","[85, 85, 11]","['Simple pass', 'Simple pass', 'Ground attacking duel']"
146,1609,"[8, 8, 8]","['Pass', 'Pass', 'Pass']","[85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass']"
147,1609,"[3, 10]","['Free Kick', 'Shot']","[31, 100]","['Free Kick', 'Shot']"
148,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 10]","['Ball out of the field', 'Throw in', 'Air duel']"
149,1631,"[8, 8, 8, 8, 1]","['Pass', 'Pass', 'Pass', 'Pass', 'Duel']","[85, 85, 85, 84, 10]","['Simple pass', 'Simple pass', 'Simple pass', 'Launch', 'Air duel']"
150,1609,"[3, 8, 8, 8, 7, 8, 1]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Duel']","[36, 85, 85, 85, 72, 85, 11]","['Throw in', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'Simple pass', 'Ground attacking duel']"
151,1631,"[8, 8]","['Pass', 'Pass']","[85, 84]","['Simple pass', 'Launch']"
152,1609,"[7, 7]","['Others on the ball', 'Others on the ball']","[72, 71]","['Touch', 'Clearance']"
153,1631,"[5, 3, 8]","['Interruption', 'Free Kick', 'Pass']","[50, 36, 85]","['Ball out of the field', 'Throw in', 'Simple pass']"
154,1631,"[1, 1]","['Duel', 'Duel']","[11, 11]","['Ground attacking duel', 'Ground attacking duel']"
155,1609,"[1, 8, 8, 7, 8, 8, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Others on the ball', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[12, 85, 85, 70, 85, 85, 85, 85, 85]","['Ground defending duel', 'Simple pass', 'Simple pass', 'Acceleration', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
156,1609,"[8, 8, 8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 85, 85, 85, 85, 80]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Cross']"
157,1631,"[7, 7, 5]","['Others on the ball', 'Others on the ball', 'Interruption']","[72, 71, 50]","['Touch', 'Clearance', 'Ball out of the field']"
158,1609,"[3, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass']","[30, 85, 85, 80]","['Corner', 'Simple pass', 'Simple pass', 'Cross']"
159,1609,"[1, 8]","['Duel', 'Pass']","[10, 80]","['Air duel', 'Cross']"
160,1631,"[7, 5]","['Others on the ball', 'Interruption']","[72, 50]","['Touch', 'Ball out of the field']"
161,1609,"[3, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass']","[30, 85, 85, 85]","['Corner', 'Simple pass', 'Simple pass', 'Simple pass']"
162,1609,"[1, 8]","['Duel', 'Pass']","[11, 80]","['Ground attacking duel', 'Cross']"
163,1609,"[8, 8, 8, 8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 85, 85, 85, 85, 85, 83]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'High pass']"
164,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 34, 10]","['Ball out of the field', 'Goal kick', 'Air duel']"
165,1609,"[1, 7]","['Duel', 'Others on the ball']","[10, 71]","['Air duel', 'Clearance']"
166,1631,"[5, 3]","['Interruption', 'Free Kick']","[50, 36]","['Ball out of the field', 'Throw in']"
167,1631,"[1, 8]","['Duel', 'Pass']","[11, 80]","['Ground attacking duel', 'Cross']"
168,1631,"[5, 3, 8]","['Interruption', 'Free Kick', 'Pass']","[50, 30, 80]","['Ball out of the field', 'Corner', 'Cross']"
169,1609,"[1, 8]","['Duel', 'Pass']","[11, 85]","['Ground attacking duel', 'Simple pass']"
170,1631,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
171,1609,"[1, 7]","['Duel', 'Others on the ball']","[12, 71]","['Ground defending duel', 'Clearance']"
172,1631,"[8, 8]","['Pass', 'Pass']","[83, 80]","['High pass', 'Cross']"
173,1609,"[1, 1]","['Duel', 'Duel']","[12, 12]","['Ground defending duel', 'Ground defending duel']"
174,1631,"[1, 5, 3, 1]","['Duel', 'Interruption', 'Free Kick', 'Duel']","[11, 50, 30, 10]","['Ground attacking duel', 'Ball out of the field', 'Corner', 'Air duel']"
175,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 13]","['Ball out of the field', 'Throw in', 'Ground loose ball duel']"
176,1609,"[3, 8, 8, 8, 8, 7, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Others on the ball', 'Pass']","[31, 85, 85, 85, 85, 72, 83]","['Free Kick', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Touch', 'High pass']"
177,1631,"[8, 8, 6]","['Pass', 'Pass', 'Offside']","[85, 84, 6]","['Simple pass', 'Launch', 'Offside']"
178,1609,"[3, 8, 8, 8, 8, 8]","['Free Kick', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[31, 85, 85, 85, 85, 85]","['Free Kick', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
179,1609,"[1, 8, 8, 8, 8, 8, 8]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[11, 85, 85, 85, 85, 85, 85]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
180,1609,"[1, 1]","['Duel', 'Duel']","[13, 12]","['Ground loose ball duel', 'Ground defending duel']"
181,1609,"[8, 8, 8, 8, 1]","['Pass', 'Pass', 'Pass', 'Pass', 'Duel']","[85, 85, 85, 85, 11]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Ground attacking duel']"
182,1609,"[8, 10, 200]","['Pass', 'Shot', 'Goal']","[85, 100, 200]","['Simple pass', 'Shot', 'Goal']"
183,1631,"[8, 8, 8]","['Pass', 'Pass', 'Pass']","[85, 85, 83]","['Simple pass', 'Simple pass', 'High pass']"
184,1609,"[8, 8]","['Pass', 'Pass']","[82, 85]","['Head pass', 'Simple pass']"
185,1631,"[5, 3, 1]","['Interruption', 'Free Kick', 'Duel']","[50, 36, 10]","['Ball out of the field', 'Throw in', 'Air duel']"
186,1609,"[1, 8]","['Duel', 'Pass']","[13, 83]","['Ground loose ball duel', 'High pass']"
187,1631,"[8, 8, 1]","['Pass', 'Pass', 'Duel']","[82, 82, 13]","['Head pass', 'Head pass', 'Ground loose ball duel']"
188,1609,"[1, 8]","['Duel', 'Pass']","[13, 85]","['Ground loose ball duel', 'Simple pass']"
189,1631,"[8, 8]","['Pass', 'Pass']","[85, 83]","['Simple pass', 'High pass']"
190,1631,"[5, 3, 8, 8]","['Interruption', 'Free Kick', 'Pass', 'Pass']","[50, 36, 85, 85]","['Ball out of the field', 'Throw in', 'Simple pass', 'Simple pass']"
191,1609,"[1, 8]","['Duel', 'Pass']","[11, 85]","['Ground attacking duel', 'Simple pass']"
192,1631,"[1, 8]","['Duel', 'Pass']","[11, 85]","['Ground attacking duel', 'Simple pass']"
193,1609,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
194,1631,"[1, 5, 3, 1]","['Duel', 'Interruption', 'Free Kick', 'Duel']","[12, 50, 36, 10]","['Ground defending duel', 'Ball out of the field', 'Throw in', 'Air duel']"
195,1609,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]","['Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass', 'Pass']","[85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass']"
196,1609,"[8, 8, 8]","['Pass', 'Pass', 'Pass']","[85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass']"
197,1609,"[1, 8, 8, 8, 8, 10]","['Duel', 'Pass', 'Pass', 'Pass', 'Pass', 'Shot']","[11, 85, 85, 85, 85, 100]","['Ground attacking duel', 'Simple pass', 'Simple pass', 'Simple pass', 'Simple pass', 'Shot']"
198,1631,"[5, 3, 7, 1]","['Interruption', 'Free Kick', 'Others on the ball', 'Duel']","[50, 34, 72, 11]","['Ball out of the field', 'Goal kick', 'Touch', 'Ground attacking duel']"
199,1609,"[1, 2]","['Duel', 'Foul']","[12, 20]","['Ground defending duel', 'Foul']"
200,1631,"[3, 8, 7, 1]","['Free Kick', 'Pass', 'Others on the ball', 'Duel']","[31, 83, 72, 11]","['Free Kick', 'High pass', 'Touch', 'Ground attacking duel']"
201,1631,"[8, 8, 8]","['Pass', 'Pass', 'Pass']","[85, 85, 85]","['Simple pass', 'Simple pass', 'Simple pass']"
202,1631,"[1, 8, 8, 8, 5]","['Duel', 'Pass', 'Pass', 'Pass', 'Interruption']","[11, 85, 83, 80, 50]","['Ground attacking duel', 'Simple pass', 'High pass', 'Cross', 'Ball out of the field']"
203,1609,"[3, 8]","['Free Kick', 'Pass']","[36, 85]","['Throw in', 'Simple pass']"
204,1631,"[8, 1]","['Pass', 'Duel']","[85, 11]","['Simple pass', 'Ground attacking duel']"
205,1631,"[8, 1]","['Pass', 'Duel']","[80, 10]","['Cross', 'Air duel']"
206,1631,"[10, 5]","['Shot', 'Interruption']","[100, 50]","['Shot', 'Ball out of the field']"
207,1609,"[1, 7]","['Duel', 'Others on the ball']","[11, 70]","['Ground attacking duel', 'Acceleration']"
208,1609,"[1, 1]","['Duel', 'Duel']","[11, 11]","['Ground attacking duel', 'Ground attacking duel']"
